"concept_id","concept_name","concept_code","vocabulary_id"
44076726,"deferasirox 90 MG Oral Tablet [Jadenu] by Novartis","OMOP1071357","RxNorm Extension"
44160220,"deferasirox 250 MG Disintegrating Oral Tablet [Exjade] Box of 84 by Cc","OMOP3036943","RxNorm Extension"
43037300,"deferasirox 90 MG Delayed Release Oral Tablet [Exjade] Box of 30 by Novartis","OMOP4852346","RxNorm Extension"
42876287,"deferasirox 360 MG Delayed Release Oral Tablet [Exjade] Box of 90 by Eurim-Pharm","OMOP4873399","RxNorm Extension"
42926812,"deferasirox 1000 MG [EXPERID]","OMOP4653622","RxNorm Extension"
41097242,"deferasirox 500 MG Disintegrating Oral Tablet [Exjade] Box of 252","OMOP2295204","RxNorm Extension"
41074114,"deferasirox 500 MG Disintegrating Oral Tablet [Exjade] Box of 28 by Haematogmbh","OMOP2272076","RxNorm Extension"
42876289,"deferasirox 360 MG Delayed Release Oral Tablet [Exjade] Box of 300","OMOP4873401","RxNorm Extension"
1594121,"deferasirox Tablet for Oral Suspension","1869534","RxNorm"
41292503,"deferasirox 500 MG Disintegrating Oral Tablet [Exjade] Box of 252 by Novartis","OMOP2490465","RxNorm Extension"
21075696,"deferasirox 125 MG Oral Tablet","OMOP261002","RxNorm Extension"
41323859,"deferasirox 500 MG Oral Tablet [Exjade] Box of 28 by Haematogmbh","OMOP2521821","RxNorm Extension"
41323860,"deferasirox 500 MG Disintegrating Oral Tablet [Exjade] Box of 28 by Eurim-Pharm","OMOP2521822","RxNorm Extension"
41284215,"deferasirox 125 MG Oral Tablet [Exjade] Box of 84","OMOP2482177","RxNorm Extension"
41065702,"deferasirox 180 MG Oral Tablet [Exjade]","OMOP2263664","RxNorm Extension"
2917499,"deferasirox 125 MG Effervescent Oral Tablet Box of 84 by Pharmacor","OMOP5134321","RxNorm Extension"
1971681,"deferasirox 360 MG Oral Tablet [Exjade] Box of 90 by Cc","OMOP5164252","RxNorm Extension"
42876288,"deferasirox 360 MG Delayed Release Oral Tablet [Exjade] Box of 90 by Orifarm Leverkus","OMOP4873400","RxNorm Extension"
2917479,"deferasirox 360 MG Oral Tablet [Chealac]","OMOP5134302","RxNorm Extension"
41086486,"deferasirox 125 MG Oral Tablet Box of 252","OMOP2284448","RxNorm Extension"
41292505,"deferasirox 250 MG Oral Tablet [Exjade] Box of 84 by Novartis","OMOP2490467","RxNorm Extension"
21173819,"deferasirox 125 MG Oral Tablet [Exjade] by Novartis","OMOP261005","RxNorm Extension"
40720447,"deferasirox 180 MG Oral Tablet [Exjade] Box of 30","OMOP4736487","RxNorm Extension"
41074111,"deferasirox 125 MG Oral Tablet [Exjade] Box of 84 by Novartis","OMOP2272073","RxNorm Extension"
36214937,"deferasirox Oral Liquid Product","1157196","RxNorm"
1786084,"deferasirox 500 MG Tablet for Oral Suspension [Exjade]","616163","RxNorm"
41168138,"deferasirox 500 MG Oral Tablet [Exjade] Box of 28 by NOVARTIS EUROPHARM (ROYAUME-UNI)","OMOP2366100","RxNorm Extension"
40720442,"deferasirox 90 MG Oral Tablet [Exjade] Box of 30 by Novartis","OMOP4736492","RxNorm Extension"
42926839,"deferasirox 500 MG Oral Powder [HEMO-JADE]","OMOP4653649","RxNorm Extension"
44176372,"deferasirox 250 MG Disintegrating Oral Tablet Box of 252","OMOP3053095","RxNorm Extension"
2917478,"deferasirox 360 MG Oral Tablet [Chealac] Box of 30","OMOP5134301","RxNorm Extension"
41261364,"deferasirox 500 MG Disintegrating Oral Tablet [Exjade] Box of 84 by Abacus Medicine","OMOP2459326","RxNorm Extension"
42926821,"deferasirox 250 MG [HEMO-JADE]","OMOP4653631","RxNorm Extension"
40949356,"deferasirox 125 MG Oral Tablet [Exjade] Box of 84 by Cc","OMOP2147318","RxNorm Extension"
41160008,"deferasirox 125 MG Disintegrating Oral Tablet [Exjade] Box of 252","OMOP2357970","RxNorm Extension"
2917474,"deferasirox 500 MG Effervescent Oral Tablet Box of 10","OMOP5134297","RxNorm Extension"
42918834,"280 ML deferasirox 25 MG/ML Oral Suspension","OMOP4645713","RxNorm Extension"
21154227,"deferasirox 250 MG [Exjade]","OMOP260983","RxNorm Extension"
43173887,"deferasirox 125 MG Disintegrating Oral Tablet [Exjade]","OMOP499920","RxNorm Extension"
41054947,"deferasirox 360 MG Oral Tablet Box of 30","OMOP2252909","RxNorm Extension"
19085918,"deferasirox 1.25 MG/ML [Exjade]","616157","RxNorm"
41023701,"deferasirox 125 MG Disintegrating Oral Tablet Box of 252","OMOP2221663","RxNorm Extension"
21114866,"deferasirox 500 MG Oral Tablet [Exjade] by Novartis","OMOP260996","RxNorm Extension"
41199570,"deferasirox 500 MG Disintegrating Oral Tablet [Exjade] Box of 84 by Orifarm Leverkus","OMOP2397532","RxNorm Extension"
42926830,"deferasirox 125 MG [HEMO-JADE]","OMOP4653640","RxNorm Extension"
2917490,"deferasirox 250 MG Effervescent Oral Tablet Box of 14 by Pharmacor","OMOP5134312","RxNorm Extension"
40720440,"deferasirox 250 MG Tablet for Oral Suspension [Exjade] by Novartis","OMOP4736494","RxNorm Extension"
41315473,"deferasirox 500 MG Disintegrating Oral Tablet [Exjade] Box of 294","OMOP2513435","RxNorm Extension"
42920579,"10 ML deferasirox 25 MG/ML Oral Suspension [FEDUROW]","OMOP4647425","RxNorm Extension"
2917469,"deferasirox 500 MG Effervescent Oral Tablet Box of 28 by Pharmacor","OMOP5134292","RxNorm Extension"
42926845,"deferasirox 500 MG [J-JADE]","OMOP4653655","RxNorm Extension"
1786082,"deferasirox 125 MG Tablet for Oral Suspension [Exjade]","616159","RxNorm"
2917467,"deferasirox 500 MG Effervescent Oral Tablet Box of 84","OMOP5134290","RxNorm Extension"
2917481,"deferasirox 250 MG Effervescent Oral Tablet [Exjade] Box of 28","OMOP5134304","RxNorm Extension"
1786060,"deferasirox 5 MG/ML","597771","RxNorm"
21124472,"deferasirox 125 MG Oral Tablet [Exjade] Box of 28","OMOP261006","RxNorm Extension"
21026538,"deferasirox 500 MG Oral Tablet [Exjade] Box of 28","OMOP260997","RxNorm Extension"
41034572,"deferasirox 360 MG Oral Tablet [Exjade] Box of 300","OMOP2232534","RxNorm Extension"
36782125,"deferasirox 360 MG Delayed Release Oral Tablet","OMOP4770411","RxNorm Extension"
36036202,"deferasirox 360 MG Oral Tablet [Exjade] Box of 90 by Haematogmbh","OMOP5046206","RxNorm Extension"
42926811,"deferasirox 1000 MG","OMOP4653621","RxNorm Extension"
40720449,"deferasirox 180 MG Oral Tablet Box of 30","OMOP4736485","RxNorm Extension"
1594125,"deferasirox 250 MG [Exjade]","1869542","RxNorm"
1786061,"deferasirox 500 MG Tablet for Oral Suspension","597772","RxNorm"
2917480,"deferasirox 360 MG [Chealac]","OMOP5134303","RxNorm Extension"
36782134,"deferasirox 180 MG Delayed Release Oral Tablet Box of 90","OMOP4770420","RxNorm Extension"
40720453,"deferasirox 500 MG Tablet for Oral Suspension Box of 28","OMOP4736481","RxNorm Extension"
36509037,"deferasirox 360 MG Delayed Release Oral Tablet [Exjade] by Cc","OMOP4835964","RxNorm Extension"
40899047,"deferasirox 500 MG Disintegrating Oral Tablet Box of 294","OMOP2097009","RxNorm Extension"
2917511,"deferasirox 90 MG Oral Tablet [Jadenu] Box of 30","OMOP5134333","RxNorm Extension"
