"concept_id","concept_name","concept_code","vocabulary_id"
43608699,"2000 MG Deferoxamine 0.1 MG/MG Injectable Solution Box of 10","OMOP752567","RxNorm Extension"
35750015,"Deferoxamine 2000 MG Injectable Solution [Desferal] Box of 1","OMOP2751476","RxNorm Extension"
589302,"Deferoxamine 500 MG Injection Box of 1","OMOP3138127","RxNorm Extension"
44071670,"Deferoxamine 500 MG Injectable Solution","OMOP1066301","RxNorm Extension"
43271740,"Deferoxamine 2000 MG Injection Box of 1 by Dbl","OMOP529387","RxNorm Extension"
44034861,"Deferoxamine 500 MG Injectable Solution [Desferal]","OMOP1029492","RxNorm Extension"
35759097,"Deferoxamine 500 MG Injectable Suspension [Desferal] by Sigma-Tau","OMOP2760558","RxNorm Extension"
44083103,"Deferoxamine Injectable Solution [Pms-Deferoxamine]","OMOP1077734","RxNorm Extension"
44047954,"Deferoxamine 500 MG Injectable Solution [Pms-Deferoxamine]","OMOP1042585","RxNorm Extension"
42925560,"Deferoxamine 500 MG Injection [PFIZER DEFEROXAMINE MESYLATE]","OMOP4652388","RxNorm Extension"
1711973,"Deferoxamine 210 MG/ML Injectable Solution","754736","RxNorm"
40722630,"Deferoxamine 500 MG Injectable Solution [Desferal] by Sigma","OMOP4734580","RxNorm Extension"
43675048,"Deferoxamine 0.1 MG/MG Injectable Solution","OMOP940543","RxNorm Extension"
36062141,"deferoxamine 2000 MG Injectable Solution Box of 10","OMOP4988131","RxNorm Extension"
21125298,"Deferoxamine 2000 MG Injection by Kent","OMOP275416","RxNorm Extension"
588263,"2000 MG Deferoxamine 0.1 MG/MG Injection","OMOP3137183","RxNorm Extension"
35411834,"Deferoxamine 500 MG Prefilled Syringe [Desferal] Box of 1 by Novartis","OMOP1145419","RxNorm Extension"
21027312,"Deferoxamine 500 MG Injection by Kent","OMOP275428","RxNorm Extension"
35412171,"Deferoxamine 2000 MG Prefilled Syringe Box of 1","OMOP1145756","RxNorm Extension"
40722624,"Deferoxamine 500 MG Injectable Solution [Desferal] Box of 10 by Waymade","OMOP4734586","RxNorm Extension"
43196788,"5 ML Deferoxamine 100 MG/ML Prefilled Syringe [Desferal] Box of 1","OMOP512669","RxNorm Extension"
589778,"5 ML Deferoxamine 100 MG/ML Injection Box of 10","OMOP3135241","RxNorm Extension"
44081660,"Deferoxamine Injectable Suspension","OMOP1076291","RxNorm Extension"
35771753,"Deferoxamine 2000 MG Injectable Suspension Box of 1 by Hospira","OMOP2773214","RxNorm Extension"
1711951,"Deferoxamine 213 MG/ML Injectable Solution","754734","RxNorm"
21066588,"Deferoxamine 2000 MG Injection by Hospira","OMOP275415","RxNorm Extension"
40031054,"Deferoxamine 250 MG/ML Injectable Solution [Desferal]","284423","RxNorm"
41379601,"20 ML Deferoxamine 100 MG/ML Injectable Solution Box of 1 by Hospira","OMOP2577563","RxNorm Extension"
35767418,"Deferoxamine 500 MG Injectable Solution Box of 10 by Hospira","OMOP2768879","RxNorm Extension"
40722626,"Deferoxamine 500 MG Injectable Solution [Desferal] Box of 10 by Sigma","OMOP4734584","RxNorm Extension"
41191156,"Deferoxamine 100 MG/ML Injection [Desferal] Box of 25","OMOP2389118","RxNorm Extension"
35757867,"Deferoxamine Injectable Suspension [Desferal]","OMOP2759328","RxNorm Extension"
21047013,"Deferoxamine 2000 MG Injection Box of 1 by Kent","OMOP275420","RxNorm Extension"
19099852,"Deferoxamine 100 MG/ML","360381","RxNorm"
41358682,"5 ML Deferoxamine 100 MG/ML Injection [Desferal] Box of 10 by Gerke","OMOP2556644","RxNorm Extension"
41382347,"20 ML Deferoxamine 100 MG/ML Injection [Desferal] Box of 10 by Aca Mueller","OMOP2580309","RxNorm Extension"
590548,"Deferoxamine 100 MG/ML Injection Box of 100","OMOP3137587","RxNorm Extension"
41379600,"20 ML Deferoxamine 100 MG/ML Injection [Desferal] Box of 5 by Cc","OMOP2577562","RxNorm Extension"
35759095,"Deferoxamine 500 MG Injectable Suspension [Desferal] by Novartis","OMOP2760556","RxNorm Extension"
35754973,"Deferoxamine 500 MG Injectable Suspension Box of 10 by Kent","OMOP2756434","RxNorm Extension"
21066589,"Deferoxamine 2000 MG Injection Box of 1","OMOP275418","RxNorm Extension"
43591369,"5 ML Deferoxamine 100 MG/ML Injectable Solution Box of 5","OMOP768097","RxNorm Extension"
41377294,"20 ML Deferoxamine 100 MG/ML Injection [Desferal] Box of 10","OMOP2575256","RxNorm Extension"
43836887,"Deferoxamine 0.1 MG/MG","OMOP940541","RxNorm Extension"
35766654,"Deferoxamine 2000 MG Injectable Suspension [Desferal] Box of 1","OMOP2768115","RxNorm Extension"
43209550,"0.02 ML Deferoxamine 100 MG/ML Prefilled Syringe [Desferal]","OMOP505662","RxNorm Extension"
43740850,"500 MG Deferoxamine 1 MG/MG Injectable Solution","OMOP862463","RxNorm Extension"
588900,"Deferoxamine 100 MG/ML Injection Box of 5","OMOP3135124","RxNorm Extension"
43141744,"5 ML Deferoxamine 100 MG/ML Prefilled Syringe [Desferal]","OMOP512668","RxNorm Extension"
35771751,"Deferoxamine 500 MG Injectable Suspension [Desferal] Box of 10 by Waymade","OMOP2773212","RxNorm Extension"
43591370,"5 ML Deferoxamine 100 MG/ML Injectable Solution Box of 50","OMOP768099","RxNorm Extension"
35605630,"deferoxamine mesylate 2000 MG","1731343","RxNorm"
21174578,"Deferoxamine 500 MG Injection Box of 10","OMOP275430","RxNorm Extension"
43770668,"2000 MG Deferoxamine 1 MG/MG Injectable Solution by Noridem Enterprises","OMOP752563","RxNorm Extension"
36894442,"Deferoxamine Injectable Solution","OMOP999080","RxNorm Extension"
35750754,"Deferoxamine 2000 MG Injectable Solution Box of 1 by Kent","OMOP2752215","RxNorm Extension"
44125597,"Deferoxamine 2000 MG Injectable Solution [Pms-Deferoxamine]","OMOP1120228","RxNorm Extension"
43861604,"5 ML Deferoxamine 100 MG/ML Injection [Desferal] Box of 50","OMOP768107","RxNorm Extension"
41354375,"5 ML Deferoxamine 100 MG/ML Injection [Desferal] by Orifarm Leverkus","OMOP2552337","RxNorm Extension"
43199928,"Deferoxamine 100 MG/ML Prefilled Syringe","OMOP515801","RxNorm Extension"
40722627,"Deferoxamine 500 MG Injectable Solution [Desferal] by Novartis","OMOP4734583","RxNorm Extension"
588257,"2000 MG Deferoxamine 0.1 MG/MG Injection Box of 10","OMOP3138651","RxNorm Extension"
35759099,"Deferoxamine 500 MG Injectable Suspension by A A H","OMOP2760560","RxNorm Extension"
19079713,"deferoxamine mesylate","3132","RxNorm"
35605638,"deferoxamine mesylate 500 MG [Desferal]","1731351","RxNorm"
41444751,"7.5 ML Deferoxamine 66.7 MG/ML Injectable Solution","OMOP2642713","RxNorm Extension"
43133849,"Deferoxamine 100 MG/ML Prefilled Syringe Box of 1","OMOP515810","RxNorm Extension"
42925562,"Deferoxamine Injection [PFIZER DEFEROXAMINE MESYLATE]","OMOP4652390","RxNorm Extension"
35770962,"Deferoxamine 500 MG Injectable Suspension [Desferal] Box of 10","OMOP2772423","RxNorm Extension"
43800588,"Deferoxamine 0.1 MG/MG Injectable Solution Box of 5","OMOP940544","RxNorm Extension"
35605635,"deferoxamine mesylate 2000 MG Injection [Desferal]","1731348","RxNorm"
44108925,"Deferoxamine Injectable Solution [Desferal 2g]","OMOP1103556","RxNorm Extension"
21135189,"Deferoxamine 2000 MG Injection [Desferal] by Novartis","OMOP275424","RxNorm Extension"
43842803,"2000 MG Deferoxamine 0.1 MG/MG Injectable Solution Box of 5","OMOP752566","RxNorm Extension"
43155985,"Deferoxamine 100 MG/ML [Desferal]","OMOP515791","RxNorm Extension"
35759101,"Deferoxamine 500 MG Injectable Solution by Hospira","OMOP2760562","RxNorm Extension"
35410900,"Deferoxamine 2000 MG Prefilled Syringe [Desferal] Box of 1","OMOP1144485","RxNorm Extension"
35410143,"Deferoxamine 500 MG Injection [Desferal] Box of 1 by Novartis","OMOP1143728","RxNorm Extension"
586698,"5 ML Deferoxamine 100 MG/ML Injection","OMOP3136948","RxNorm Extension"
40031053,"Deferoxamine 250 MG/ML Injectable Solution","237829","RxNorm"
43764582,"Deferoxamine 0.1 MG/MG Injection [Desferal]","OMOP940547","RxNorm Extension"
21115652,"Deferoxamine 2000 MG Injection [Desferal] Box of 1 by Novartis","OMOP275426","RxNorm Extension"
43187685,"0.02 ML Deferoxamine 100 MG/ML Prefilled Syringe","OMOP505660","RxNorm Extension"
1711950,"Deferoxamine 213 MG/ML","754733","RxNorm"
21155020,"Deferoxamine 500 MG Injection [Desferal] Box of 10 by Waymade","OMOP275440","RxNorm Extension"
1711974,"Deferoxamine 210 MG/ML Injectable Solution [Desferal]","754752","RxNorm"
40169156,"deferoxamine mesylate 213 MG/ML Injectable Solution [Desferal]","895972","RxNorm"
40722620,"Deferoxamine 500 MG Injectable Suspension [Desferal] by Sigma","OMOP4734590","RxNorm Extension"
43692795,"Deferoxamine 100 MG/ML Injection [Desferal] Box of 5","OMOP940538","RxNorm Extension"
35754971,"Deferoxamine 500 MG Injectable Solution [Desferal] Box of 10 by Novartis","OMOP2756432","RxNorm Extension"
40722634,"Deferoxamine Injectable Solution [Desferal]","OMOP4734576","RxNorm Extension"
43700872,"20 ML Deferoxamine 100 MG/ML Injection [Desferal] by Novartis","OMOP795375","RxNorm Extension"
35409385,"Deferoxamine 500 MG Prefilled Syringe [Desferal]","OMOP1142970","RxNorm Extension"
40722616,"Deferoxamine 2000 MG Injectable Solution Box of 1 by Pfizer","OMOP4734594","RxNorm Extension"
40722619,"Deferoxamine 500 MG Injectable Suspension [Desferal] Box of 10 by Sigma","OMOP4734591","RxNorm Extension"
41297314,"Deferoxamine 40 MG/ML [Deferoxaminmesilat Do]","OMOP2495276","RxNorm Extension"
44032858,"Deferoxamine 500 MG Injectable Suspension","OMOP1027489","RxNorm Extension"
35750016,"Deferoxamine 2000 MG Injectable Suspension [Desferal]","OMOP2751477","RxNorm Extension"
40169154,"deferoxamine mesylate 213 MG/ML","895947","RxNorm"
43836889,"Deferoxamine 0.1 MG/MG Injection [Desferal] Box of 10","OMOP940549","RxNorm Extension"
40722628,"Deferoxamine 500 MG Injectable Solution [Desferal] by Waymade","OMOP4734582","RxNorm Extension"
587420,"5 ML Deferoxamine 100 MG/ML Injection Box of 100","OMOP3136448","RxNorm Extension"
36217325,"deferoxamine Injectable Product","1152154","RxNorm"
41359753,"5 ML Deferoxamine 100 MG/ML Injection [Desferal] by Mtk","OMOP2557715","RxNorm Extension"
35754976,"Deferoxamine 2000 MG Injectable Suspension [Desferal] by Novartis","OMOP2756437","RxNorm Extension"
35759102,"Deferoxamine 2000 MG Injectable Solution Box of 1 by A A H","OMOP2760563","RxNorm Extension"
40722613,"Deferoxamine 2000 MG Injectable Solution [Desferal] Box of 1","OMOP4734597","RxNorm Extension"
35767416,"Deferoxamine 500 MG Injectable Solution [Desferal] Box of 10 by Waymade","OMOP2768877","RxNorm Extension"
