concept_id,concept_name,concept_code,vocabulary_id
40480011,History of Diamond-Blackfan anemia,441638006,SNOMED
45612339,"Anemia, Diamond-Blackfan",D029503,MeSH
3189211,History of Diamond-Blackfan anaemia,441638006,Nebraska Lexicon
19356066,"Anemia, Diamond-Blackfan, 2",C536130,MeSH
19356147,"Anemia, Diamond-Blackfan, 3",C536355,MeSH
19372964,Diamond-Blackfan Anemia With Microtia And Cleft Palate,C565256,MeSH
19374071,Diamond-Blackfan Anemia 8,C567253,MeSH
19374072,Diamond-Blackfan Anemia 7,C567254,MeSH
19374089,Diamond-Blackfan Anemia 5,C567280,MeSH
19374090,Diamond-Blackfan Anemia 4,C567281,MeSH
19374104,Diamond-Blackfan Anemia 1,C567302,MeSH
19374303,Diamond-Blackfan Anemia 10,C567649,MeSH
19374304,Diamond-Blackfan Anemia 9,C567650,MeSH
35122857,Diamond-Blackfan anaemia,10062988,MedDRA
35122858,Diamond-Blackfan anemia,10062989,MedDRA
4217370,Aase syndrome,71988008,SNOMED   
4228194,Congenital hypoplastic anemia,88854002,SNOMED
