"concept_id","concept_code","concept_name","vocabulary_id"
40485018,"444108000","Acute sickle cell splenic sequestration crisis","SNOMED"
603018,"1153415008","Acute splenic sequestration due to sickle cell hemoglobin C disease with crisis","SNOMED"
607430,"1153413001","Acute splenic sequestration of spleen due to sickle cell thalassemia with crisis","SNOMED"
4049095,"23269001","Double heterozygous sickling disorder","SNOMED"
26942,"417425009","Hemoglobin SS disease with crisis","SNOMED"
30683,"416180004","Hemoglobin SS disease without crisis","SNOMED"
4209085,"440206000","Hemoglobin SS disease with vasoocclusive crisis","SNOMED"
4216915,"417279003","Hemoglobin S sickling disorder with crisis","SNOMED"
4166115,"416290001","Hemoglobin S sickling disorder without crisis","SNOMED"
37204550,"783254003","Hereditary persistence of fetal hemoglobin with sickle cell disease syndrome","SNOMED"
45757146,"10759351000119103","Sickle cell anemia in mother complicating childbirth","SNOMED"
4131914,"127045008","Sickle cell anemia with coexistent alpha-thalassemia","SNOMED"
4121115,"234391009","Sickle cell anemia with high hemoglobin F","SNOMED"
4130068,"127043001","Sickle cell-beta0-thalassemia","SNOMED"
4130678,"127042006","Sickle cell beta plus thalassemia","SNOMED"
4130067,"127041004","Sickle cell-beta-thalassemia","SNOMED"
3194085,"9800001000004104","Sickle cell crisis with extensive hemolysis","Nebraska Lexicon"
4131913,"127044007","Sickle cell-delta beta0-thalassemia","SNOMED"
24006,"35434009","Sickle cell-hemoglobin C disease","SNOMED"
443721,"417517009","Sickle cell-hemoglobin C disease with crisis","SNOMED"
443726,"417683006","Sickle cell-hemoglobin C disease without crisis","SNOMED"
4103763,"25472008","Sickle cell-hemoglobin D disease","SNOMED"
4167364,"417748003","Sickle cell-hemoglobin D disease with crisis","SNOMED"
4166099,"416214006","Sickle cell-hemoglobin D disease without crisis","SNOMED"
4264046,"47024008","Sickle cell-hemoglobin E disease","SNOMED"
4219568,"416484003","Sickle cell-hemoglobin E disease with crisis","SNOMED"
4211932,"416638004","Sickle cell-hemoglobin E disease without crisis","SNOMED"
4131126,"127047000","Sickle cell-hemoglobin Lepore disease","SNOMED"
4130190,"127048005","Sickle cell-Hemoglobin O Arab disease","SNOMED"
22281,"127040003","Sickle cell-hemoglobin SS disease","SNOMED"
315523,"36472007","Sickle cell-thalassemia disease","SNOMED"
443738,"416826005","Sickle cell-thalassemia disease with crisis","SNOMED"
321263,"417048006","Sickle cell-thalassemia disease without crisis","SNOMED"
4213628,"417357006","Sickling disorder due to hemoglobin S","SNOMED"
3193947,"9850001000004106","Vasoocclusive sickle cell crisis","Nebraska Lexicon"
